model,layer,relative_depth,overall,care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,sanctity,degradation
Guard-Gen-4B,21,0.6,0.0961551222180957,0.21948179986223648,0.09667789851932451,0.029446886572616404,0.1971101118390175,0.07685040474076144,0.1498468545616518,-0.07105038480728498,0.17082240707049567,-0.06908502249672477,0.161450266319068
Guard-Gen-4B,22,0.6285714285714286,0.02281061615075918,0.1974865545343476,0.20623514047854152,-0.010572856879729198,0.07081224107186002,-0.05869476869225054,0.050609271844613946,-0.008671619738451763,-0.08328427952684825,-0.15188473512082967,0.016071213536541618
Guard-Gen-4B,23,0.6571428571428571,-0.06517683173351412,-0.20066990829452536,0.15092944579054035,-0.22328460278205253,0.05853285433317312,-0.04805475993555075,0.1470517753640006,-0.06968722014508022,-0.07993128723232945,-0.3043024750171235,-0.0823521394159914
Guard-Gen-4B,24,0.6857142857142857,-0.05056514807571731,0.05829998317375984,0.20036684356322398,0.0005641293576641448,0.11591886639987803,-0.09942786511112667,-0.10317798182801297,-0.15057120915741873,-0.1945347660967327,-0.4281822692114985,0.09509278815324607
Guard-Gen-4B,25,0.7142857142857143,-0.07403567393192859,-0.16398867618991586,0.17160955718187176,-0.1359015324747821,0.10784572521657831,-0.05531342601864475,-0.03585554597350771,-0.16554286925125083,-0.10153659044400887,-0.3721697139684259,0.010496332603013414
Guard-Gen-4B,26,0.7428571428571429,-0.07817962166212125,0.15858161121972136,0.16699535891793327,-0.3999950597038604,0.09330375754092024,-0.030660959657412334,0.1141398133580519,-0.23711909912860607,-0.13520165238707427,-0.442137729490369,-0.06970225729029389
Guard-Gen-4B,27,0.7714285714285715,-0.2533607718608922,-0.0674301850388459,-0.008920990062325718,-0.30132264417356547,-0.11932235235494715,-0.12350195299871092,0.058694548973777017,-0.4712521473408364,-0.2912133187849584,-0.9300968971156323,-0.27924177971260744
Guard-Gen-4B,28,0.8,-0.2683821412507029,-0.14038519370643088,0.16634182224855887,-0.19970797757064784,-0.678129514546497,-0.13231777375921427,-0.08569280747926866,-0.7202959038043815,0.014449778651929202,-0.7170696216792407,-0.1910142208615624
Guard-Gen-4B,29,0.8285714285714286,-0.4365359533773335,0.07525765513990568,-0.23668302939144192,-0.4481488198203898,-0.0046590502783689924,-0.5006784286169668,-0.24648745087133972,-1.2222653832432981,-0.41046140087656613,-1.1679974672924072,-0.20323615852218802
Guard-Gen-4B,30,0.8571428571428571,-0.33443605598207055,-0.0902032495419991,-0.1600816940794536,-0.3741606092317442,-0.2599466001932509,-0.44995800272095243,0.0650453332213059,-0.6595840696892092,-0.753525135061134,-0.5839398289106579,-0.07800670361339956
Guard-Gen-4B,31,0.8857142857142857,-0.42838516698389106,-0.1542321951910952,-0.09615605936909799,-0.8624665395231037,-0.7080789598784212,-0.4875181782591871,-0.28464497973380265,-0.5590119980217332,-0.3425617430445327,-0.3472187392180761,-0.4419622775995298
Guard-Gen-4B,32,0.9142857142857143,-0.8560088210601773,-0.1796288721030901,-0.48708250215452376,-0.8966217281354218,-0.8588266273724583,-0.9547272694472155,-1.4829979639743605,-0.5415354070426803,-0.434434001049651,-1.4479444911521413,-1.2762893481697897
Guard-Gen-4B,33,0.9428571428571428,-0.891853667977309,-0.022888858447126292,-0.2185921255108585,-0.8502750201593645,-0.25707479697816726,-0.4676669213549498,-0.6493374206680333,-0.7362871929124513,-1.0910348525166063,-1.8593416212905902,-2.766037869934595
Guard-Gen-4B,34,0.9714285714285714,-0.9400131489558341,-0.7426779036708047,-0.2227266280273259,-1.1737315207200667,-1.2275411541957642,-0.7296290656706383,-0.983825009494937,-0.9883825600971514,-0.8338081046395442,-1.2047218181654649,-1.2930877248763162
Guard-Gen-4B,35,1.0,-3.5873453347041613,-1.9177403237111057,-1.7605728810745407,-4.128526242629466,-3.0648073397389375,-3.020720186045841,-3.8315686726353926,-4.766940217463485,-4.491415950153424,-4.621438961789505,-4.269722571798987
Guard-Gen-8B,0,0.0,0.1607354560412583,0.2017358922815592,0.1947730093960861,0.10254368082982834,0.20612991858915708,0.17114556809765358,0.22402483093441694,0.10991609340043929,0.15634983040237027,0.09129580951373484,0.1494399269675123
Guard-Gen-8B,1,0.02857142857142857,0.15595079806886447,0.2009288541033123,0.2042970901447514,0.10772210155505224,0.1861639529815824,0.1848872719428949,0.21210552238166147,0.09563066047745172,0.1428658747588346,0.08798663561519215,0.13692001672809018
Guard-Gen-8B,2,0.05714285714285714,0.15565808354765637,0.1986874252991827,0.21143933825085592,0.10224402611672212,0.20194377628992943,0.1767098559894823,0.2099312978066401,0.11101143806900171,0.12980614377542543,0.07322513009876608,0.1415824037807375
Guard-Gen-8B,3,0.08571428571428572,0.15489776689749718,0.21116004815998946,0.1977301544301696,0.08485739689949989,0.19110568254626492,0.18123759406018547,0.21909475299614145,0.1015993402978933,0.13729138791744855,0.07545160976121412,0.14944970190634999
Guard-Gen-8B,4,0.11428571428571428,0.14941707796537268,0.19707113575332613,0.19696474701646272,0.10083764532558726,0.20745913744982314,0.17017712571995003,0.22616350465209178,0.09933096229778071,0.11995881604626046,0.04985413843795261,0.12635356695467004
Guard-Gen-8B,5,0.14285714285714285,0.12999791091619234,0.1854030040543253,0.21505551918690247,0.06341069805433686,0.17770732140170664,0.1811092731914925,0.2081627524060481,0.020263322938049444,0.0906400669813785,0.06685649667549742,0.09137065427237279
Guard-Gen-8B,6,0.17142857142857143,0.1119425083995,0.21194283196580022,0.21271628115954455,0.07202145222239353,0.16627991804317155,0.17902680467465681,0.22174571429435097,0.06686910051316486,-0.03498992443793569,-0.016238832447491358,0.0400517380075428
Guard-Gen-8B,7,0.2,0.09466079341141502,0.17686271885726323,0.16674602375511316,0.019685960331415786,0.17199341445056882,0.16735726341990353,0.1976377169758644,0.0433419075282554,0.1149177595771873,-0.156631168984934,0.04469633820371577
Guard-Gen-8B,8,0.22857142857142856,0.031759582369693694,0.17900240917876042,0.12620203611786984,-0.21736092225518022,0.12045161588127373,0.09916084620486365,0.1704389876535103,-0.2481757903814128,0.09567482574419228,-0.03643923892827372,0.02864105448150356
Guard-Gen-8B,9,0.2571428571428571,0.05133192029026821,0.16123430100289615,0.1810935928136631,-0.11455225315763173,0.1024398786963655,0.16368889627488503,0.1356029031638616,-0.03836708270596256,-0.007637524831219267,-0.1642999476560898,0.0941164393019962
Guard-Gen-8B,10,0.2857142857142857,0.09676265583100449,0.1960660771846452,0.19005220447755067,0.028149789350671917,0.15725031123807287,0.055064108939904766,0.15809042006583662,0.042059009770042954,0.11887480078648938,-0.06519913029387703,0.08721896679084751
