model,layer,category,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_r,spearman_p,n
gpt-oss-20b,4,care-harm_vice,0.4838564778768873,5.569343024866798e-115,0.4491124948945135,0.5171393454594454,0.4710487216526283,2.876494553845086e-108,1950
gpt-oss-20b,4,care-harm_virtue,0.3835893254328452,7.954145606534056e-63,0.3430235115568709,0.4227269879646458,0.3940076819710914,1.7516782061150132e-66,1761
gpt-oss-20b,4,fairness-cheating_vice,0.5329049270064731,1.6689895897631248e-143,0.5003508683500465,0.5639543944468067,0.4965961726067956,6.011770549368282e-122,1950
gpt-oss-20b,4,fairness-cheating_virtue,0.2909208478600772,3.0894726559750056e-33,0.2458958957147434,0.3346930563048022,0.2985821700473656,5.31991367646079e-35,1634
gpt-oss-20b,4,loyalty-betrayal_vice,0.4791946763426825,1.6686467643159278e-112,0.4442544156982855,0.5126794294083282,0.4715637622050378,1.5645413070478965e-108,1950
gpt-oss-20b,4,loyalty-betrayal_virtue,0.3513618052128135,1.0254631770713449e-50,0.3090434148274618,0.3922915897616601,0.3516948917895182,8.160232297769616e-51,1705
gpt-oss-20b,4,overall,0.3985660323523435,0.0,0.3860776259108783,0.4109083678874896,0.387630291914873,0.0,17635
gpt-oss-20b,4,sanctity-degradation_vice,0.2868444072049154,1.4623261409936684e-36,0.2445813893993946,0.3280195922958714,0.2760322928335506,7.050689745837469e-34,1860
gpt-oss-20b,4,sanctity-degradation_virtue,0.2855275081387964,2.5244826686458624e-28,0.2372851904502959,0.3323649674135795,0.2910052260616738,2.1002676872129405e-29,1435
gpt-oss-20b,5,authority-subversion_vice,0.4774266091337731,3.846953333650415e-108,0.4418391192049695,0.5115138193922047,0.4511595533067583,2.2616936400935524e-95,1889
gpt-oss-20b,5,authority-subversion_virtue,0.3094024280698929,1.164781098336132e-34,0.262920944064588,0.3544510096088343,0.297504320594356,4.69915388564579e-32,1501
gpt-oss-20b,5,care-harm_vice,0.4963418795038996,8.336204985878682e-122,0.4621337010383911,0.5290751543176677,0.4846082815712934,2.2019571283599007e-115,1950
gpt-oss-20b,5,care-harm_virtue,0.3961425134227632,3.003647238825891e-67,0.356018308894865,0.4348087254015187,0.4071357955448513,2.779200006845063e-71,1761
gpt-oss-20b,5,fairness-cheating_vice,0.5393796146914018,1.246317077871265e-147,0.5071317186098082,0.5701193847323525,0.5057031897634885,4.1192684675827226e-127,1950
gpt-oss-20b,5,fairness-cheating_virtue,0.3103354512528413,8.200943680917621e-38,0.2658421883166331,0.3535093740977615,0.3198627572346346,3.455558856450103e-40,1634
gpt-oss-20b,5,loyalty-betrayal_vice,0.4857896782063352,5.099166673874974e-116,0.451127692295869,0.5189882959779184,0.4842722674119694,3.3346440362650926e-115,1950
gpt-oss-20b,5,loyalty-betrayal_virtue,0.3750498022885598,4.4786326121835714e-58,0.3335146531703686,0.4151317697606632,0.3807374197362926,6.168444337182667e-60,1705
gpt-oss-20b,5,overall,0.4107484550941063,0.0,0.3984041977280287,0.4229439409756589,0.4024484343770397,0.0,17635
gpt-oss-20b,5,sanctity-degradation_vice,0.3017772997107977,1.8211841412086798e-40,0.2598902670877925,0.3425308088788506,0.289947366663063,2.3595259844835717e-37,1860
gpt-oss-20b,5,sanctity-degradation_virtue,0.2977199857299806,9.240455540918283e-31,0.2498205064259305,0.3441659307527976,0.3044011858527178,3.7983765205401286e-32,1435
gpt-oss-20b,6,authority-subversion_vice,0.1852984762649323,4.714703935124653e-16,0.1413785603480149,0.2284903786990752,0.2424651500033652,1.1201298162127347e-26,1889
gpt-oss-20b,6,authority-subversion_virtue,0.0877860852170752,0.0006620888010592,0.0373544954728793,0.1377716463516027,0.1764329742143199,5.824745757610805e-12,1501
gpt-oss-20b,6,care-harm_vice,0.2195443455257193,1.0349336507505636e-22,0.1768778813779807,0.2613872131264531,0.2353011631522562,6.140168043528173e-26,1950
gpt-oss-20b,6,care-harm_virtue,0.1514664766828201,1.674565674749851e-10,0.1055007151364764,0.1967863617413609,0.2525166052187409,5.0880452047486255e-27,1761
gpt-oss-20b,6,fairness-cheating_vice,0.2322687525666098,2.6800919551340863e-25,0.1898357982407845,0.273835629317594,0.2763685530900843,1.598248013257775e-35,1950
gpt-oss-20b,6,fairness-cheating_virtue,-0.0555980140327188,0.0246116606193129,-0.1038121516752878,-0.0071231863157949,0.0336346893544954,0.1741620515270615,1634
gpt-oss-20b,6,loyalty-betrayal_vice,0.2460114493025617,2.847549196068788e-28,0.2038473156520216,0.2872646234259722,0.2964332984301888,7.531706210122237e-41,1950
gpt-oss-20b,6,loyalty-betrayal_virtue,-0.0763370630813312,0.0016084240959614,-0.123363329589292,-0.0289687128661004,-0.0231384821179036,0.3396519699469897,1705
gpt-oss-20b,6,overall,0.126001867794771,2.505041688086585e-63,0.1114495629808956,0.1405001462641991,0.1614286247093476,2.932124125322372e-103,17635
gpt-oss-20b,6,sanctity-degradation_vice,0.1012992609366407,1.2025099717135949e-05,0.0561058164399509,0.1460784506804195,0.1342359069387799,6.183521810428047e-09,1860
gpt-oss-20b,6,sanctity-degradation_virtue,-0.0291880591527217,0.2691785465774142,-0.0808143373663624,0.0225944111188817,0.0049842498563599,0.8503695180031329,1435
gpt-oss-20b,7,authority-subversion_vice,0.1867732808227937,2.736539675749943e-16,0.1428753776250758,0.2299377923867506,0.2440546090024246,5.1248700374579876e-27,1889
gpt-oss-20b,7,authority-subversion_virtue,0.0899399580801074,0.000485393964862,0.0395223043814215,0.1399008154870182,0.1784240221211242,3.335302199191032e-12,1501
gpt-oss-20b,7,care-harm_vice,0.2205220604048575,6.633776664129247e-23,0.1778730143211798,0.2623442154134495,0.2362199173299326,3.912756203044214e-26,1950
gpt-oss-20b,7,care-harm_virtue,0.1547495866433733,6.633973850432126e-11,0.1088240280459935,0.2000159465957998,0.2537881553625689,2.764804419552564e-27,1761
gpt-oss-20b,7,fairness-cheating_vice,0.2343479390233326,9.779887541462243e-26,0.1919545465456369,0.275868395561833,0.2767417871381164,1.2838349686396235e-35,1950
gpt-oss-20b,7,fairness-cheating_virtue,-0.0489048394941816,0.0480937913662794,-0.0971684285904789,-0.0004117830239571,0.0371646684915121,0.1331829224990399,1634
gpt-oss-20b,7,loyalty-betrayal_vice,0.2483156596860818,8.65612624141285e-29,0.2061982907663553,0.2895146495233456,0.2967804477772448,6.03778194779335e-41,1950
gpt-oss-20b,7,loyalty-betrayal_virtue,-0.0764249534960525,0.0015884620307161,-0.1234503894107371,-0.0290570446320012,-0.0222169612381058,0.3592394564162351,1705
gpt-oss-20b,7,overall,0.1284711465728425,8.807786539917715e-66,0.113927602400019,0.1429596408027102,0.1621978813439198,3.0638716156526426e-104,17635
gpt-oss-20b,7,sanctity-degradation_vice,0.1022403497951799,9.961378275776696e-06,0.0570537100433194,0.1470089670430226,0.1370756586658758,2.9237181815085347e-09,1860
gpt-oss-20b,7,sanctity-degradation_virtue,-0.0297580069037291,0.2599362083216865,-0.0813810289273469,0.022024251759982,0.0067135555702578,0.7994182375825727,1435
