model,variant,benchmark,bench_key,domain,metric,raw,score,source,n,coverage,acc_all,refusal_rate,harmless_rate,tdr,rdr,l1_rdr,l2_rdr,safe_compliance,unsafe_refusal,record_coverage,score_coverage,macro_asr,micro_asr_lower,micro_asr_upper,validity,n_tasks
Qwen3-32B,ReSo-shuffle,HarmBench,harmbench,Safety,1 - ASR,0.1733,82.67,harmbench/qwen3-32b/summary_qwen3-32b-reso-beta-1-shuffle-1-2026-07-28-09-33_best.json,300,,,0.7567,,,,,,,,,,,,,,
Qwen3-32B,Base,DeceptionBench,deceptionbench,Safety,1 - ASR (mean TDR/RDR),0.385,61.5,deceptionbench/qwen3-32b/deception_bench_qwen3-32b.json,,,,,,0.3778,0.3922,0.4,0.3883,,,,,,,,,
Qwen3-32B,DPO,DeceptionBench,deceptionbench,Safety,1 - ASR (mean TDR/RDR),0.4828,51.72,deceptionbench/qwen3-32b/deception_bench_dpo-qwen3-32b-2026-07-27-16-36_best.json,,,,,,0.4789,0.4867,0.4633,0.4983,,,,,,,,,
Qwen3-32B,ReSo,DeceptionBench,deceptionbench,Safety,1 - ASR (mean TDR/RDR),0.2639,73.61,deceptionbench/qwen3-32b/deception_bench_qwen3-32b-reso-beta-1-2026-07-27-19-30-1e-6_best.json,,,,,,0.2589,0.2689,0.2667,0.27,,,,,,,,,
Qwen3-32B,ReSo-shuffle,DeceptionBench,deceptionbench,Safety,1 - ASR (mean TDR/RDR),0.3594,64.06,deceptionbench/qwen3-32b/deception_bench_qwen3-32b-reso-beta-1-shuffle-1-2026-07-28-09-33_best.json,,,,,,0.3544,0.3644,0.3533,0.37,,,,,,,,,
Qwen3-32B,Base,OpenRT,openrt,Safety,1 - micro ASR (27 attacks),0.2451,75.49,openrt/qwen3-32b/qwen3-32b/summary.json,6279,,,,,,,,,,,1.0,0.9689814814814814,0.25025555555555556,0.2375,0.26851851851851855,,
Qwen3-32B,DPO,OpenRT,openrt,Safety,1 - micro ASR (27 attacks),0.2662,73.38,openrt/qwen3-32b/qwen3-32b-dpo/summary.json,6292,,,,,,,,,,,1.0,0.9709876543209877,0.27154814814814815,0.25848765432098764,0.2875,,
Qwen3-32B,ReSo,OpenRT,openrt,Safety,1 - micro ASR (27 attacks),0.2127,78.73,openrt/qwen3-32b/qwen3-32b-reso/summary.json,6299,,,,,,,,,,,1.0,0.9720679012345679,0.2174222222222222,0.20679012345679013,0.23472222222222222,,
Qwen3-32B,ReSo-shuffle,OpenRT,openrt,Safety,1 - micro ASR (27 attacks),0.2469,75.31,openrt/qwen3-32b/qwen3-32b-shuffle/summary.json,6330,,,,,,,,,,,1.0,0.9768518518518519,0.25194444444444447,0.2412037037037037,0.26435185185185184,,
Qwen3-32B,Base,XSTest,xstest,Alignment,Balanced acc.,0.8675,86.75,xstest/qwen3-32b/xstest_qwen3-32b.json,,,,,,,,,,0.96,0.775,,,,,,,
Qwen3-32B,DPO,XSTest,xstest,Alignment,Balanced acc.,0.882,88.2,xstest/qwen3-32b/xstest_dpo-qwen3-32b-2026-07-27-16-36_best.json,,,,,,,,,,0.964,0.8,,,,,,,
Qwen3-32B,ReSo,XSTest,xstest,Alignment,Balanced acc.,0.8635,86.35,xstest/qwen3-32b/xstest_qwen3-32b-reso-beta-1-2026-07-27-19-30-1e-6_best.json,,,,,,,,,,0.892,0.835,,,,,,,
Qwen3-32B,ReSo-shuffle,XSTest,xstest,Alignment,Balanced acc.,0.8725,87.25,xstest/qwen3-32b/xstest_qwen3-32b-reso-beta-1-shuffle-1-2026-07-28-09-33_best.json,,,,,,,,,,0.96,0.785,,,,,,,
Qwen3-32B,Base,ETHICS,ethics,Alignment,Composite,0.6683,66.83,ethics_benchmark/qwen3-32b/ethics_benchmark_qwen3_32b.json,,,,,,,,,,,,,,,,,0.987,
Qwen3-32B,DPO,ETHICS,ethics,Alignment,Composite,0.6842,68.42,ethics_benchmark/qwen3-32b/ethics_benchmark_dpo-qwen3-32b-2026-07-27-16-36_best.json,,,,,,,,,,,,,,,,,0.987,
Qwen3-32B,ReSo,ETHICS,ethics,Alignment,Composite,0.6936,69.36,ethics_benchmark/qwen3-32b/ethics_benchmark_qwen3-32b-reso-beta-1-2026-07-27-19-30-1e-6_best.json,,,,,,,,,,,,,,,,,1.0,
Qwen3-32B,ReSo-shuffle,ETHICS,ethics,Alignment,Composite,0.6778,67.78,ethics_benchmark/qwen3-32b/ethics_benchmark_qwen3-32b-reso-beta-1-shuffle-1-2026-07-28-09-33_best.json,,,,,,,,,,,,,,,,,1.0,
Qwen3-32B,Base,FLAMES,flames,Alignment,Harmless score,64.3311,64.33,flames/qwen3-32b/qwen3-32b_score.jsonl,,,,,0.29298738447024253,,,,,,,,,,,,,
Qwen3-32B,DPO,FLAMES,flames,Alignment,Harmless score,62.3859,62.39,flames/qwen3-32b/dpo-qwen3-32b-2026-07-27-16-36_score.jsonl,,,,,0.26364815097804944,,,,,,,,,,,,,
Qwen3-32B,ReSo,FLAMES,flames,Alignment,Harmless score,64.9886,64.99,flames/qwen3-32b/qwen3-32b-reso-beta-1-2026-07-27-19-30-1e-6_score.jsonl,,,,,0.30568049647617757,,,,,,,,,,,,,
