model,category,peak_spearman_r,peak_layer
Qwen3-32B,authority-subversion_virtue,0.2633691908094413,5
Qwen3-32B,care-harm_vice,0.3867775442391353,63
Qwen3-32B,care-harm_virtue,0.3554727687931098,5
Qwen3-32B,fairness-cheating_vice,0.4232031686607553,5
Qwen3-32B,fairness-cheating_virtue,0.3743329034320121,61
Qwen3-32B,loyalty-betrayal_vice,0.4344560575532251,63
Qwen3-32B,loyalty-betrayal_virtue,0.3268247687055806,5
Qwen3-32B,sanctity-degradation_vice,0.2737872905970171,4
Qwen3-32B,sanctity-degradation_virtue,0.2164684109807004,5
Qwen3-4B,authority-subversion_vice,0.3744238882613967,35
Qwen3-4B,authority-subversion_virtue,0.265574789017047,5
Qwen3-4B,care-harm_vice,0.4020606969388184,35
Qwen3-4B,care-harm_virtue,0.3730763026543339,35
Qwen3-4B,fairness-cheating_vice,0.407039621845668,0
Qwen3-4B,fairness-cheating_virtue,0.2099762560196481,0
Qwen3-4B,loyalty-betrayal_vice,0.4335377327898108,35
Qwen3-4B,loyalty-betrayal_virtue,0.3113116850579209,35
Qwen3-4B,sanctity-degradation_vice,0.2646910574406663,0
Qwen3-4B,sanctity-degradation_virtue,0.2423747091392688,35
Qwen3-4B-Base,authority-subversion_vice,0.4136593542575091,35
Qwen3-4B-Base,authority-subversion_virtue,0.2913902409840646,35
Qwen3-4B-Base,care-harm_vice,0.4152950807949672,35
Qwen3-4B-Base,care-harm_virtue,0.3757046720673458,5
Qwen3-4B-Base,fairness-cheating_vice,0.4520839359331556,35
Qwen3-4B-Base,fairness-cheating_virtue,0.3206421893497186,34
Qwen3-4B-Base,loyalty-betrayal_vice,0.4806270733973702,35
Qwen3-4B-Base,loyalty-betrayal_virtue,0.2936198985807777,35
Qwen3-4B-Base,sanctity-degradation_vice,0.2947312011110949,35
Qwen3-4B-Base,sanctity-degradation_virtue,0.2810275460822504,35
Qwen3-8B,authority-subversion_vice,0.364683100699623,5
Qwen3-8B,authority-subversion_virtue,0.2765774953049663,5
Qwen3-8B,care-harm_vice,0.3998540660981129,5
Qwen3-8B,care-harm_virtue,0.3817269022819192,35
Qwen3-8B,fairness-cheating_vice,0.4238549938774884,5
Qwen3-8B,fairness-cheating_virtue,0.3173985852428066,35
Qwen3-8B,loyalty-betrayal_vice,0.4715100505301589,35
Qwen3-8B,loyalty-betrayal_virtue,0.3654820622872295,35
Qwen3-8B,sanctity-degradation_vice,0.3283281835952106,35
Qwen3-8B,sanctity-degradation_virtue,0.2155728358776256,5
Qwen3-8B-Base,authority-subversion_vice,0.3870305677603558,35
Qwen3-8B-Base,authority-subversion_virtue,0.2773036974363024,5
Qwen3-8B-Base,care-harm_vice,0.3958757228117077,5
Qwen3-8B-Base,care-harm_virtue,0.4021322426770082,34
Qwen3-8B-Base,fairness-cheating_vice,0.4395110745068931,35
Qwen3-8B-Base,fairness-cheating_virtue,0.3696538240061227,34
Qwen3-8B-Base,loyalty-betrayal_vice,0.4453633890400829,35
Qwen3-8B-Base,loyalty-betrayal_virtue,0.3708045027211427,34
Qwen3-8B-Base,sanctity-degradation_vice,0.35138776897264,34
Qwen3-8B-Base,sanctity-degradation_virtue,0.2447996715950493,34
gpt-oss-120b,authority-subversion_vice,0.4779382254262683,17
gpt-oss-120b,authority-subversion_virtue,0.3412302626795176,16
gpt-oss-120b,care-harm_vice,0.5067581856214455,29
gpt-oss-120b,care-harm_virtue,0.4343286205449502,13
gpt-oss-120b,fairness-cheating_vice,0.5142612497873889,28
gpt-oss-120b,fairness-cheating_virtue,0.3990347346221484,15
gpt-oss-120b,loyalty-betrayal_vice,0.545648426115697,16
gpt-oss-120b,loyalty-betrayal_virtue,0.4126729401527981,16
gpt-oss-120b,sanctity-degradation_vice,0.3949915108566765,17
gpt-oss-120b,sanctity-degradation_virtue,0.3497539335933179,17
gpt-oss-20b,authority-subversion_vice,0.4511595533067583,5
gpt-oss-20b,authority-subversion_virtue,0.3261940974505439,17
gpt-oss-20b,care-harm_vice,0.4846082815712934,5
gpt-oss-20b,care-harm_virtue,0.4071357955448513,5
gpt-oss-20b,fairness-cheating_vice,0.5057031897634885,5
gpt-oss-20b,fairness-cheating_virtue,0.3198627572346346,5
gpt-oss-20b,loyalty-betrayal_vice,0.5476523895328189,17
gpt-oss-20b,loyalty-betrayal_virtue,0.3807374197362926,5
gpt-oss-20b,sanctity-degradation_vice,0.3594710898103382,17
gpt-oss-20b,sanctity-degradation_virtue,0.3117935377747215,17
gpt-oss-safeguard-120b,authority-subversion_vice,0.4760448586919322,17
gpt-oss-safeguard-120b,authority-subversion_virtue,0.3415934124655823,16
gpt-oss-safeguard-120b,care-harm_vice,0.5057523370959609,17
gpt-oss-safeguard-120b,care-harm_virtue,0.4333262633710618,13
gpt-oss-safeguard-120b,fairness-cheating_vice,0.5109328902841395,5
gpt-oss-safeguard-120b,fairness-cheating_virtue,0.3977975948256641,15
gpt-oss-safeguard-120b,loyalty-betrayal_vice,0.5423228896674284,16
gpt-oss-safeguard-120b,loyalty-betrayal_virtue,0.4109723008026992,16
gpt-oss-safeguard-120b,sanctity-degradation_vice,0.3891994614481111,17
gpt-oss-safeguard-120b,sanctity-degradation_virtue,0.3451740164825398,17
gpt-oss-safeguard-20b,authority-subversion_vice,0.450466652969161,5
gpt-oss-safeguard-20b,authority-subversion_virtue,0.3254353492361906,17
gpt-oss-safeguard-20b,care-harm_vice,0.4839174205142484,5
gpt-oss-safeguard-20b,care-harm_virtue,0.4077079924625021,5
gpt-oss-safeguard-20b,fairness-cheating_vice,0.5057788063989536,5
gpt-oss-safeguard-20b,fairness-cheating_virtue,0.3207792449007576,5
gpt-oss-safeguard-20b,loyalty-betrayal_vice,0.5418249983035527,17
gpt-oss-safeguard-20b,loyalty-betrayal_virtue,0.3813862666471478,5
gpt-oss-safeguard-20b,sanctity-degradation_vice,0.358603493603882,17
gpt-oss-safeguard-20b,sanctity-degradation_virtue,0.3078683353104175,17
